competition_id,match_id,date,s1_start,s1_end,s1_dur,s2_start,s2_end,s2_dur,weather,weather_id,pitch,pitch_id,home_team,home_team_id,home_score,away_team,away_team_id,away_score
1,138,20200927,19:00,19:46,46,20:00,20:51,51,흐림,2,포항 스틸야드,14,포항,K03,5,광주,K22,3
1,139,20201002,17:00,17:46,46,18:02,18:50,48,맑음,1,울산 문수,68,울산,K01,4,상주,K23,1
1,140,20201003,16:30,17:16,46,17:32,18:20,48,흐림,2,광주 전용,117,광주,K22,0,대구,K17,1
1,141,20201003,19:00,19:46,46,20:01,20:50,49,흐림,2,전주 월드컵,71,전북,K05,0,포항,K03,1
1,142,20201004,14:00,14:48,48,15:04,15:52,48,맑음,1,강릉 종합,25,강원,K21,2,성남,K08,1
1,143,20201004,16:30,17:16,46,17:32,18:23,51,흐림,2,서울 월드컵,82,서울,K09,1,부산,K06,2
1,144,20201004,19:00,19:46,46,20:01,20:51,50,흐림,2,인천 전용,95,인천,K18,0,수원,K02,1
1,145,20201016,19:00,19:46,46,20:01,20:49,48,흐림,2,강릉 종합,25,강원,K21,3,인천,K18,1
1,146,20201017,14:00,14:47,47,15:02,15:50,48,맑음,1,상주 시민,80,상주,K23,2,대구,K17,1
1,147,20201017,16:30,17:16,46,17:32,18:21,49,맑음,1,탄천 종합,84,성남,K08,0,서울,K09,1
1,148,20201018,14:00,14:47,47,15:03,15:51,48,맑음,1,부산 구덕,9,부산,K06,0,수원,K02,0
1,149,20201018,16:30,17:16,46,17:31,18:19,48,맑음,1,전주 월드컵,71,전북,K05,4,광주,K22,1
1,150,20201018,19:00,19:47,47,20:02,20:50,48,맑음,1,포항 스틸야드,14,포항,K03,4,울산,K01,0
1,151,20201023,19:00,19:46,46,20:01,20:51,50,맑음,1,수원 월드컵,69,수원,K02,1,성남,K08,2
1,152,20201024,14:00,14:46,46,15:02,15:52,50,맑음,1,서울 월드컵,82,서울,K09,1,강원,K21,1
1,153,20201024,16:30,17:17,47,17:32,18:21,49,맑음,1,인천 전용,95,인천,K18,2,부산,K06,1
1,154,20201025,14:00,14:46,46,15:01,15:52,51,맑음,1,DGB대구은행파크,114,대구,K17,3,포항,K03,2
1,155,20201025,14:00,14:47,47,15:03,15:51,48,맑음,1,광주 전용,117,광주,K22,0,상주,K23,1
1,156,20201025,16:30,17:16,46,17:31,18:20,49,맑음,1,울산 문수,68,울산,K01,0,전북,K05,1
1,157,20201031,15:00,15:46,46,16:01,16:53,52,맑음,1,서울 월드컵,82,서울,K09,0,인천,K18,1
1,158,20201031,15:00,15:46,46,16:01,16:51,50,,0,춘천 송암,41,강원,K21,1,수원,K02,2
1,159,20201031,15:00,15:46,46,16:01,16:50,49,맑음,1,탄천 종합,84,성남,K08,2,부산,K06,1
1,160,20201101,15:00,15:46,46,16:02,16:51,49,흐림,2,울산 문수,68,울산,K01,3,광주,K22,0
1,161,20201101,15:00,15:47,47,16:02,16:50,48,비,3,전주 월드컵,71,전북,K05,2,대구,K17,0
1,162,20201101,15:00,15:45,45,16:00,16:48,48,흐림,2,포항 스틸야드,14,포항,K03,3,상주,K23,1
